pronunciation	standard
산비는 하루 저녁에만 많이 짜는디 맹주는 촘촘해가지 암만 짜도 많이 못 짜예	삼베는 하루 저녁에만 많이 짜는데 명주는 촘촘하게 아무리 짜도 많이 못 짜죠
삼비는 하루 저녁에만 많이 짜는디 맹주는 촘촘해가지 암만 짜도 많이 못 짜예	삼베는 하루 저녁에만 많이 짜는디 명주는 촘촘해서 아무리 짜도 많이 못 짜요
가스레인지에 불켜 나은 걸 깜빡 이자삐리서 음식을 마카 태울 뻔핸니다	가스레인지에 불켜 놓은 걸 깜빡 잊어버려서 음식을 모두 태울 뻔했어요
가스렌지에 불 켜 나은 걸 깜빡 이저뿌이서 음식을 마카 태울 뻔핸니더	가스렌지에 불 켜 놓은 걸 깜빡 잊어버려서  음식을 모두 태울 뻔했습니다
오랫동안 한 동로에서 살았던 할머 할매인디 돌아가시니까 에 마음이 아프네예	오랫동안 한 동로에서 살았던 할머 할머니인데 돌아가시니까 에 마음이 아프네요
오랫동안 한 동네에서 살았던 할머니 돌아가시니까 내 마음이 아프네요	오랫동안 한 동네에서 살았던 할머니 돌아가시니까 내 마음이 아프네요
혈압약은 시간을 맏춰가 생겨 드셔야지 안 그라모 효과가 없는 더 업씀니다이	혈압약은 시간을 맞춰서 생겨 드셔야지 안 그러면 효과가 없는 더 없습니다
혈압약은 시간을 마춰가 챙겨 드셔야지 안 그라모 효과가 없습니다	혈압약은 시간을 맞춰서 챙겨 드셔야지 안 그러면  효과가 없습니다
집에 들어와 보니꺼네 문이 열려 있고 빼다지에 얹어 놓은 돈이 전부 없어졌다니	집에 들어와 보니까 문이 열려 있고 서랍에 얹어 놓은 돈이 전부 없어졌다니
집에 들어와 보니꺼네 문이 열려 있고 빼다지에 얹어 놓은 돈이 전부 읍써져따니	집에 들어와 보니까 문이 열려 있고 서랍에 얹어 놓은 돈이 전부 없어졌다니
아들 오늘 중요한 시험 보이꺼네 이 생엳하고 찹쌀떡 묵꼬 힘내서 시험 잘 봐래이	아들 오늘 중요한 시험 보니까 이 갱엿하고 찹쌀떡 먹고 힘내서 시험 잘 봐라
옌날부텀 조상 꿈이나 대지꿈 꾸면 집에 돈 드러온다꼬 조아해찌로	옛날부터 조상 꿈이나 돼지꿈 꾸면 집에 돈 들어온다고 좋아했지요
엔날부텀 조상 꿈이나 대지꿈 꾸면 집에 돈 드러온다꼬 조아핻찌로	옛날부터 조상 꿈이나 돼지꿈 꾸면 집에 돈 들어온다고 좋아했지요
겨울에 먹을 채소나 과일 같은 것은 어떻게 보관을 했습니까	겨울에 먹을 채소나 과일 같은 것은 어떻게 보관을 했습니까
겨울에 먹을 채소냐 과일 같은 것은 어떻게 보관을 했습니까	겨울에 먹을 채소냐 과일 같은 것은 어떻게 보관을 했습니까
친정 동네하고 이 동네하고 차례 지낼 때 상차리는 거는 뭐가 다릅니까	친정 동네하고 이 동네하고 차례 지낼 때 상차리는 거는 뭐가 다릅니까
농구석이라 젊은 사람은 아예 없고 전부 노인들만 있으니까 농사 짓기도 힘들어서	촌구석이라 젊은 사람은 아예 없고 전부 노인들만 있으니까 농사 짓기도 힘들어서
소도 사람처럼 잘 먹어야 근육이 붙고 힘도 생겨서 일도 잘하지요	소도 사람처럼 잘 먹어야 근육이 붙고 힘도 생겨서 일도 잘하지요
옷감을 자를 때는 미리 선을 그아 놓아야 똑바로 자를 수 있어요	옷감을 자를 때는 미리 선을 그어 놓아야 똑바로 자를 수 있어요
올해는 배추 농사를 망쳐서 김장을 하려면 배추를 좀 사와서 담가야 되겠네	올해는 배추 농사를 망쳐서 김장을 하려면 배추를 좀 사와서 담가야 되겠네
우리 며느리는 자식들 잘 챙기고 착해서 내가 얼마나 사랑 자랑을 하고 다니는다고	우리 며느리는 자식들 잘 챙기고 착해서 내가 얼마나 사랑 자랑을 하고 다니는다고
배추 배추 한 포기 키우는 것도 이렇게 힘든데 어머님은 어떻게 평생 농사를 짓고 사셨을까	배추 배추 한 포기 키우는 것도 이렇게 힘든데 어머님은 어떻게 평생 농사를 짓고 사셨을까
비가 올 쭐도 모르고 세차를 하루 종일 열심히 했는데 완전 헛수고 했네 쯧	비가 올 줄도 모르고 세차를 하루 종일 열심히 했는데 완전 헛수고 했네 쯧
요새는 세월이 조타만 우리 클 때는 하고 싶은 것도 못 하고 고생 마이 하써	요새는 세월이 좋지만 우리 클 때는 하고 싶은 것도 못 하고 고생 많이 했어
전화를 하고 시펀는디 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 모댇씁니다	전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못했습니다
전화를 하고 시펀는디 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못 했습니다	전화를 하고 싶었는데 얘기하는 중간에 전화하러 나오기가 어려워서 집에 전화 못 했습니다
어머니 지금 차 타고 장에 가시려고 하는데 혹시 읍내로 나가시면 태워드릴까요	어머니 지금 차 타고 장에 가시려고 하는데 혹시 읍내로 나가시면 태워드릴까요
어깨가 뻐근한디 얼음 뜸질 좀 하구로 하구로 냉장고에 얼음 좀 꺼내 도래이	어깨가 뻐근한데 얼음 찜질 좀 하게 하게 냉장고에 얼음 좀 꺼내 줘
어깨가 뻐근한디 얼음 뜸질 좀 하고 하고 냉장고에 얼음 좀 꺼내도래이	어깨가 뻐근한데 얼음 찜질 좀 하고 하고 냉장고에 얼음 좀 꺼내줘
마당을 계속 관리해야지 안 그러면 금새 잡초가 자라서 엉망이 됩니다	마당을 계속 관리해야지 안 그러면 금새 잡초가 자라서 엉망이 됩니다
마당을 계속 관리해야지 안 그러면 금세 자초가 자라서 엉망이 됩니다	마당을 계속 관리해야지 안 그러면 금세 잡초가 자라서 엉망이 됩니다
옛날에는 무글 것이 없으니까 겨울에 고드름을 맛있다고 따 무꼬 그랬지요	옛날에는 먹을 것이 없으니까 겨울에 고드름을 맛있다고 따 먹고 그랬지요
옛날에는 먹을 것이 없으니까 겨울에 고드름을 맛있다고 다 먹고 그랬지요	옛날에는 먹을 것이 없으니까 겨울에 고드름을 맛있다고 다 먹고 그랬지요
지사를 안 모실 것 같으면 모르지만 제사를 모실 것 같으면 정성을 들여서 해야 합니다	제사를 안 모실 것 같으면 모르지만 제사를 모실 것 같으면 정성을 들여서 해야 합니다
밭이 별로 크지도 않았으니까 양배추보다는 상추 같은 걸 심는 기 좋겠어요	밭이 별로 크지도 않았으니까 양배추보다는 상추 같은 걸 심는 게 좋겠어요
옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다	옛날에는 혼자 김장을 했는데 요즘은 힘들어서 동네 사람들하고 같이 합니다
산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다	산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다
산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다	산에 가서 조금만 다녀보면 지팡이 만들기 좋은 나무가 아주 많습니다
다리도 아프고 날이 따가우니까 저기 거렁지에서 잠시 시어따 갑시다	다리도 아프고 날이 따가우니까 저기 그늘에서 잠시 쉬었다 갑시다
다리도 아프고 날이 따가우니까 저기 그릉지에서 잠시 쉬었다 갔다가시다	다리도 아프고 날이 따가우니까 저기 그늘에서 잠시 쉬었다 갔다갑시다
도리깨가 깨나 무거워서 허리 다칠 수 있으니까 타작 털 때는 살살 두려 두드려	도리깨가 꽤나 무거워서 허리 다칠 수 있으니까 타작할 때는 살살 두려 두드려
도리깨가 깨나 무거워서 허리 다칠 수 있으니까 타작틀 때는 살살 두려 두드려	도리깨가 깨나 무거워서 허리 다칠 수 있으니까 다작할 때는 살살 두려 두드려
옛날에는 특별한 간식이 없으니까 옥수수나 감자 같은 걸 먹고 그랬어요	옛날에는 특별한 간식이 없으니까 옥수수나 감자 같은 걸 먹고 그랬어요
동강으로 쓸 나무는 또 갈라 가지고 저쪽 담장 밑에 쌓아두면 됩니까	동강으로 쓸 나무는 또 갈라 가지고 저쪽 담장 밑에 쌓아두면 됩니까
여개까정 오시느라고 욕봤는데 시원한 물이라도 한 잔 드십시오	여기까지 오시느라고 욕봤는데 시원한 물이라도 한 잔 드십시오
여기까지 오시느라고 욕 봤는데 시원한 물이라도 한 잔 드십시오	여기까지 오시느라고 욕 봤는데 시원한 물이라도 한 잔 드십시오
지진이 일어나 일어나면 퍼뜩 얼른 책상 밑으로 들어가서 멈출 때까지 기다려야 합니다	지진이 일어나 일어나면 퍼뜩 얼른 책상 밑으로 들어가서 멈출 때까지 기다려야 합니다
요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네	요새 날씨가 가물어서 농사도 못 짓고 계속 집에만 있으니까 정말 답답하네
오랜만에 가족끼리 외식 한번 하자고 했는데 그것도 못하면 어떡해요	오랜만에 가족끼리 외식 한번 하자고 했는데 그것도 못하면 어떡해요
새옷 입으니까 사람이 달라 보이는데 전부터 내가 옷 좀 사 입으라고 하지 아난나	새옷 입으니까 사람이 달라 보이는데 전부터 내가 옷 좀 사 입으라고 하지 않았니
처음 시집 왔을 때 생선국을 보고 이거 비린내가 나서 어떻게 먹을지 걱정했습니다	처음 시집 왔을 때 생선국을 보고 이거 비린내가 나서 어떻게 먹을지 걱정했습니다
밀감이 너무 새구라워서 몬 묵껜는데 냉장고에 다른 과일 있으면 좀 내 올래	밀감이 너무 셔서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내 올래
밀감이 너무 쌔 거라서 몬 먹겠는데 냉장고에 다른 과일 있으면 좀 내올래	밀감이 너무 새 거라서 못 먹겠는데 냉장고에 다른 과일 있으면 좀 내올래
오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버려서 깜짝 놀랐네	오랜만에 조카를 보니까 못 알아볼 정도로 훌쩍 커 버려서 깜짝 놀랐네
수술비가 한두 푼이 아닌데 갑자기 돈 얘기를 하면 어쩌란 말이냐	수술비가 한두 푼이 아닌데 갑자기 돈 얘기를 하면 어쩌란 말이냐
추석 때 차례 지내면서 조상께 감사하다고 인사를 잘 해야 된다	추석 때 차례 지내면서 조상께 감사하다고 인사를 잘 해야 된다
수박은 큰 게 맛있다고 하는데 차매는 작은 게 맛있다고 합니다	수박은 큰 게 맛있다고 하는데 참외는  작은 게 맛있다고 합니다
수박은 큰 게 맛있다고 하는데 참외는 작은 게 맛있다고 합니다	수박은 큰 게 맛있다고 하는데 참외는 작은 게 맛있다고 합니다
등어리 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요	등에 피부가 다 벗겨졌는데 연고를 바르니까 희한하게 금방 가라앉네요
나이가 드니까 귀가 어두워서 사람들이 무슨 말을 했는지도 잘 모 알아듣겠다	나이가 드니까 귀가 어두워서 사람들이 무슨 말을 했는지도 잘 못 알아듣겠다
시아버님께서 옷 차려 입고 나가시면서 사람들이 멋쟁이라고 멋쟁이라고 많이 말씀하셨어요	시아버님께서 옷 차려 입고 나가시면서 사람들이 멋쟁이라고 멋쟁이라고 많이 말씀하셨어요
애넘드리 쌀을 다 뺏어 가 버려서 없더니 없으니까 매일 꽁보리밥에 몸 꽁보리밥밖에 몬 먹었지	왜놈들이 쌀을 다 뺏어 가 버려서 없더니 없으니까 매일 꽁보리밥에 못 꽁보리밥밖에 못 먹었지
왜놈들이 쌀을 다 빼서 가버려서 없으니까 매일 꽁보리밥에 꽁보리밥 밖에 못 먹었지	왜놈들이 쌀을 다 빼서 가버려서 없으니까 매일 꽁보리밥에 꽁보리밥 밖에 못 먹었지
채독에 걸리면 얼굴이 노러케 돼가지고 사람이 기운이 하나도 없어 보인다	채독에 걸리면 얼굴이 노랗게 돼가지고 사람이 기운이 하나도 없어 보인다
채동이 걸리믄 얼굴이 노랗게 돼가지고 사람의 기운이 하나도 없어 보인다	채독이 걸리면 얼굴이 노랗게 돼가지고 사람의 기운이 하나도 없어 보인다
돼지머리 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬습니다	돼지머리 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬습니다
대지 머리 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬습니다	돼지 머리 갖다 놓고 굿판 벌리면 동네 사람들 쭉 와서 구경도 하고 그랬습니다
남의 무 구댕이가 어딘지 아는 사람들은 다른 집 무 빼가기도 했지	남의 무 구덩이가 어딘지 아는 사람들은 다른 집 무 빼가기도 했지
남의 무 구덩이가 어딘지 아는 사람들은 다른 집 무 빼가기도 했지	남의 무 구덩이가 어딘지 아는 사람들은 다른 집 무 빼가기도 했지
뱀에 물리면 병원 가야지 당장 된장 같은 거 마음대로 바르면 큰일 난다	뱀에 물리면 병원 가야지 당장 된장 같은 거 마음대로 바르면 큰일 난다
평생을 농사만 지으니까 허리 굽어서 이제는 똑바로 걸을 수도 없습니다	평생을 농사만 지으니까 허리 굽어서 이제는 똑바로 걸을 수도 없습니다
닭을 닭 달구통에 넣어두지 않으면 밤에 산짐승이 내려와서 물어가 버립니다	닭을 닭 닭장에 넣어두지 않으면 밤에 산짐승이 내려와서 물어가 버립니다
